0.056,0.981,0.156
40.253,0.053,0.990,0.165
40.305,0.048,0.978,0.157
40.357,0.047,0.976,0.161
40.410,0.047,0.979,0.160
40.462,0.048,0.982,0.157
40.514,0.051,0.985,0.160
40.566,0.055,0.984,0.167
40.619,0.052,0.980,0.165
40.671,0.051,0.981,0.160
40.723,0.044,0.985,0.156
40.775,0.054,0.984,0.159
40.827,0.058,0.979,0.157
40.880,0.045,0.978,0.163
40.932,0.051,0.981,0.161
40.984,0.044,0.981,0.166
41.036,0.050,0.975,0.163
41.089,0.053,0.983,0.155
41.141,0.048,0.981,0.164
41.193,0.053,0.979,0.161
41.245,0.044,0.984,0.160
41.297,0.051,0.978,0.159
41.350,0.056,0.980,0.158
41.402,0.048,0.981,0.161
41.454,0.043,0.980,0.156
41.506,0.051,0.978,0.165
41.559,0.048,0.980,0.157
41.611,0.052,0.981,0.157
41.663,0.054,0.983,0.159
41.715,0.052,0.983,0.156
41.767,0.051,0.982,0.164
41.820,0.046,0.980,0.162
41.872,0.049,0.983,0.160
41.924,0.051,0.984,0.167
41.976,0.046,0.980,0.164
42.029,0.046,0.982,0.154
42.081,0.048,0.975,0.156
42.133,0.052,0.981,0.164
42.185,0.050,0.981,0.159
42.237,0.046,0.981,0.170
42.290,0.055,0.982,0.163
42.342,0.049,0.985,0.161
42.394,0.048,0.980,0.165
42.446,0.049,0.983,0.157
42.499,0.049,0.978,0.160
42.551,0.050,0.981,0.161
42.603,0.046,0.982,0.167
42.655,0.050,0.979,0.167
42.707,0.048,0.981,0.163
42.760,0.050,0.985,0.165
42.811,0.054,0.979,0.165
42.864,0.049,0.980,0.159
42.916,0.045,0.981,0.165
42.969,0.050,0.977,0.164
43.021,0.056,0.981,0.156
43.073,0.049,0.978,0.159
43.125,0.048,0.982,0.164
43.177,0.052,0.982,0.166
43.230,0.048,0.977,0.165
43.282,0.049,0.987,0.163
43.334,0.048,0.983,0.162
43.386,0.049,0.977,0.164
43.439,0.047,0.979,0.167
43.491,0.047,0.984,0.154
43.543,0.050,0.980,0.163
43.595,0.049,0.985,0.155
43.648,0.054,0.983,0.158
43.700,0.047,0.981,0.168
43.752,0.046,0.982,0.163
43.804,0.049,0.986,0.164
43.856,0.049,0.986,0.157
43.909,0.047,0.985,0.158
43.961,0.055,0.984,0.160
44.013,0.052,0.982,0.161
44.065,0.055,0.982,0.159
44.118,0.046,0.975,0.158
44.170,0.050,0.985,0.163
44.222,0.048,0.979,0.163
44.274,0.047,0.982,0.165
44.326,0.055,0.989,0.163
44.379,0.051,0.976,0.157
44.431,0.051,0.981,0.167
44.483,0.046,0.980,0.165
44.535,0.045,0.977,0.159
44.588,0.057,0.979,0.167
44.640,0.051,0.984,0.159
44.692,0.051,0.986,0.156
44.744,0.052,0.982,0.169
44.796,0.050,0.981,0.159
44.849,0.050,0.984,0.162
44.901,0.050,0.981,0.156
44.953,0.053,0.980,0.164
45.005,0.046,0.980,0.155
45.058,0.048,0.980,0.161
45.109,0.048,0.980,0.151
45.161,0.049,0.976,0.160
45.213,0.052,0.980,0.163
45.265,0.050,0.985,0.163
45.318,0.052,0.972,0.169
45.371,0.049,0.979,0.170
45.423,0.043,0.981,0.162
45.475,0.053,0.982,0.158
45.528,0.050,0.982,0.164
45.580,0.055,0.987,0.158
45.632,0.047,0.980,0.169
45.684,0.047,0.980,0.158
45.736,0.048,0.980,0.162
45.789,0.044,0.983,0.162
45.841,0.051,0.980,0.164
45.893,0.055,0.985,0.157
45.945,0.054,0.984,0.168
45.998,0.048,0.983,0.161
46.050,0.045,0.983,0.159
46.102,0.049,0.982,0.162
46.154,0.050,0.981,0.156
46.206,0.050,0.980,0.169
46.258,0.051,0.978,0.161
46.311,0.048,0.985,0.168
46.363,0.045,0.982,0.160
46.415,0.049,0.981,0.162
46.468,0.054,0.979,0.163
46.520,0.051,0.976,0.155
46.572,0.042,0.977,0.166
46.624,0.048,0.980,0.161
46.676,0.049,0.977,0.159
46.729,0.051,0.984,0.162
46.781,0.052,0.990,0.166
46.833,0.049,0.979,0.161
46.885,0.055,0.983,0.160
46.938,0.047,0.985,0.159
46.990,0.049,0.984,0.162




















































































































































