"79.48,-92.82,-15.04"
"79.50,-92.73,-15.03"
"79.58,-92.72,-14.91"
"79.48,-92.70,-14.82"
"79.67,-92.75,-14.67"
"79.74,-92.75,-14.63"
"79.90,-92.75,-14.53"
"80.05,-92.76,-14.37"
"80.16,-92.81,-14.33"
"80.16,-92.75,-14.28"
"80.23,-92.78,-14.22"
"80.31,-92.77,-14.17"
"80.27,-92.74,-14.20"
"80.38,-92.82,-14.10"
"80.45,-92.86,-14.05"
"80.51,-92.88,-14.02"
"80.59,-92.86,-13.99"
"80.61,-92.86,-13.95"
"80.62,-92.89,-13.93"
"80.61,-92.80,-13.96"
"80.56,-92.77,-14.01"
"80.51,-92.75,-14.05"
"80.47,-92.72,-14.15"
"80.41,-92.72,-14.20"
"80.39,-92.72,-14.20"
"80.37,-92.79,-14.15"
"80.33,-92.75,-14.20"
"80.41,-92.78,-14.15"
"80.05,-92.77,-14.30"
"80.07,-92.74,-14.26"
"80.21,-92.78,-14.20"
"80.24,-92.79,-14.21"
"80.21,-92.85,-14.12"
"80.32,-92.85,-14.03"
"80.42,-92.87,-13.99"
"80.33,-92.77,-14.06"
"80.35,-92.74,-14.08"
"80.25,-92.72,-14.12"
"80.21,-92.70,-14.15"
"80.18,-92.71,-14.15"
"80.13,-92.69,-14.23"
"80.15,-92.67,-14.25"
"80.14,-92.73,-14.22"
"80.21,-92.76,-14.20"
"80.17,-92.74,-14.22"
"80.07,-92.74,-14.29"
"80.15,-92.74,-14.32"
"80.15,-92.74,-14.29"
"80.02,-92.68,-14.42"
"80.01,-92.68,-14.49"
"79.90,-92.67,-14.57"
"79.89,-92.67,-14.62"
"79.99,-92.74,-14.53"
"80.08,-92.75,-14.44"
"80.06,-92.70,-14.46"
"80.03,-92.66,-14.50"
"80.08,-92.70,-14.46"
"80.04,-92.68,-14.46"
"82.08,-92.04,-13.65"
"82.46,-91.84,-12.40"
"82.91,-92.20,-10.97"
"82.46,-91.86,-10.40"
"82.82,-92.10,-10.35"
"82.46,-91.98,-10.77"
"82.77,-92.01,-11.17"
"82.56,-92.08,-11.37"
"82.76,-91.99,-11.21"
"82.78,-92.14,-11.01"
"82.80,-91.98,-10.97"
"82.88,-91.96,-11.13"
"82.79,-92.00,-11.24"
"82.82,-91.94,-11.16"
"82.82,-91.99,-11.14"
"82.76,-91.99,-11.24"
"82.73,-91.99,-11.62"
"82.66,-92.01,-11.92"
"82.65,-91.96,-12.08"
"82.62,-91.93,-12.37"
"82.51,-91.98,-12.73"
"81.57,-92.66,-13.16"
"82.05,-92.77,-13.12"
"81.94,-93.54,-12.72"
"81.26,-91.56,-12.81"
"81.32,-93.37,-13.04"
"81.63,-94.40,-12.80"
"80.87,-91.64,-13.91"
"81.10,-94.63,-13.49"
"81.12,-95.37,-13.16"
"81.21,-92.03,-14.10"
"81.04,-93.74,-13.83"
"80.19,-91.32,-14.72"
"80.94,-92.87,-14.07"
"80.46,-93.94,-13.99"
"80.07,-91.77,-14.79"
"80.06,-91.66,-14.93"
"79.79,-91.54,-15.09"
"79.83,-91.61,-15.03"
"79.79,-91.63,-15.03"
"79.78,-91.56,-14.99"
"79.79,-91.60,-15.02"
"79.79,-91.48,-15.01"
"79.86,-91.49,-14.97"
"79.76,-91.49,-14.97"
"79.82,-91.41,-14.96"
"79.83,-91.48,-14.94"
"79.85,-91.51,-14.88"
"79.83,-91.51,-14.76"
"79.81,-91.56,-14.52"
"79.84,-91.53,-14.30"
"79.84,-91.54,-14.02"
"80.02,-91.59,-13.78"
"80.43,-92.79,-13.65"
"80.74,-92.92,-13.50"
"81.00,-92.94,-13.33"
"81.42,-92.99,-13.10"
"81.61,-92.97,-12.91"
"81.56,-92.88,-12.96"
"81.51,-92.84,-13.00"
"81.45,-92.81,-13.04"
"81.44,-92.78,-13.09"
"81.38,-92.77,-13.14"
"81.34,-92.83,-13.16"
"81.35,-92.78,-13.20"
"81.31,-92.75,-13.23"
"81.33,-92.80,-13.18"
"81.33,-92.82,-13.15"
"81.23,-92.83,-13.22"
"81.27,-92.90,-13.17"
"81.13,-92.92,-13.11"
"81.24,-92.86,-13.12"
"81.33,-92.87,-13.07"
"81.34,-92.90,-13.05"
"81.42,-92.88,-13.01"
"81.47,-92.91,-12.94"
"81.52,-92.84,-12.94"
"81.55,-92.89,-12.87"
"81.61,-92.90,-12.83"
"81.72,-92.92,-12.73"
"81.76,-92.95,-12.65"
"81.81,-92.92,-12.62"
"80.47,-93.99,-12.88"
"81.59,-95.48,-11.98"
"80.61,-93.43,-12.60"
"78.92,-93.90,-13.08"
"79.51,-95.42,-12.14"
"76.76,-93.22,-13.76"
"78.10,-94.20,-12.81"
"77.89,-90.94,-14.03"
"78.54,-93.16,-13.03"
"77.36,-90.69,-13.82"
"78.10,-92.01,-12.99"
"77.38,-89.89,-13.97"
"77.93,-91.67,-13.43"
"77.47,-91.02,-13.07"
"77.66,-93.48,-12.61"
"77.64,-93.23,-12.50"
"77.36,-93.53,-12.72"
"77.57,-93.56,-12.74"
"77.23,-93.66,-12.92"
"77.40,-93.65,-12.77"
"77.23,-93.76,-12.73"
"77.18,-93.67,-12.71"
"77.14,-93.76,-12.76"
"77.17,-93.65,-12.70"
"77.18,-93.69,-12.68"
"77.16,-93.64,-12.67"
"77.15,-93.70,-12.67"
"77.16,-93.71,-12.68"
"77.13,-93.69,-12.68"
"77.15,-93.69,-12.69"
"77.15,-93.72,-12.75"
"77.12,-93.71,-12.79"
"77.21,-93.68,-12.81"
"77.14,-93.67,-12.80"
"77.19,-93.63,-12.85"
"77.37,-93.64,-12.80"
"77.92,-93.02,-12.82"
"78.44,-92.90,-12.86"
"79.44,-92.89,-12.85"
"79.81,-92.84,-12.94"
"80.06,-92.82,-13.08"
"80.13,-92.81,-13.22"
"80.34,-92.81,-13.22"
"80.58,-92.88,-13.14"
"80.75,-92.95,-13.05"
"80.82,-92.95,-12.96"
"80.89,-92.92,-12.99"
"80.93,-92.89,-12.98"
"81.00,-92.89,-12.97"
"80.98,-92.86,-12.97"
"80.98,-92.82,-13.02"
"80.98,-92.81,-13.05"
"80.98,-92.79,-13.10"
"81.05,-92.84,-13.11"
"81.11,-92.88,-13.05"
"81.11,-92.87,-13.09"
"81.22,-92.91,-13.00"
"81.34,-92.88,-12.92"
"81.36,-92.90,-12.87"
"81.38,-92.87,-12.89"
"81.42,-92.90,-12.86"
"81.50,-92.94,-12.80"
"81.54,-92.87,-12.85"
"81.48,-92.79,-12.93"
"81.38,-92.78,-13.05"
"81.31,-92.76,-13.11"
"81.27,-92.81,-13.12"
"81.25,-92.81,-13.12"
"81.31,-92.80,-13.11"
"81.32,-92.83,-13.07"
"81.34,-92.87,-13.04"
"81.35,-92.80,-13.06"
"81.42,-92.84,-13.02"
"81.48,-92.88,-12.99"
"81.45,-92.87,-13.00"
"81.47,-92.84,-12.95"
"81.55,-92.89,-12.83"
"81.43,-92.86,-12.94"
"81.33,-92.79,-13.05"
"81.35,-92.82,-13.11"
"81.27,-92.79,-13.15"
"81.29,-92.77,-13.16"
"81.26,-92.71,-13.23"
"82.59,-93.97,-11.83"
"82.33,-91.77,-11.88"
"80.97,-92.21,-13.24"
"80.57,-92.57,-14.52"
"81.03,-91.58,-15.40"
"80.93,-92.23,-15.66"
"88.45,-91.24,-15.50"
"86.80,-92.46,-17.47"
"87.02,-93.05,-18.99"
"88.11,-90.22,-19.61"
"89.17,-91.97,-19.83"
"89.48,-90.54,-20.52"
