0.000,0.053,0.004,0.964
0.131,0.045,0.000,0.957
0.262,0.044,0.009,0.960
0.393,0.049,0.006,0.959
0.524,0.052,0.000,0.964
0.655,0.049,0.007,0.957
0.786,0.045,0.006,0.949
0.917,0.047,0.001,0.961
1.048,0.046,0.005,0.959
1.179,0.041,0.008,0.948
1.310,0.045,0.004,0.955
1.441,0.046,0.000,0.955
1.572,0.047,-0.001,0.963
1.704,0.048,0.001,0.971
1.836,0.042,0.003,0.958
1.967,0.047,0.005,0.957
2.098,0.042,0.001,0.957
2.229,0.056,0.003,0.952
2.360,0.045,0.005,0.960
2.490,0.044,0.001,0.961
2.621,0.053,0.001,0.952
2.752,0.050,0.000,0.955
2.883,0.052,0.005,0.954
3.014,0.046,0.003,0.956
3.145,0.047,0.002,0.962
3.276,0.049,-0.003,0.951
3.408,0.043,0.001,0.968
3.539,0.050,0.002,0.962
3.671,0.046,0.006,0.961
3.802,0.046,0.004,0.962
3.933,0.043,0.003,0.963
4.064,0.045,0.000,0.954
4.195,0.047,0.004,0.954
4.326,0.050,0.001,0.954
4.457,0.049,0.007,0.963
4.588,0.041,0.001,0.960
4.719,0.045,0.005,0.958
4.850,0.046,0.002,0.961
4.981,0.042,0.003,0.958
5.112,0.047,0.003,0.949
5.243,0.045,-0.001,0.965
5.376,0.047,-0.002,0.960
5.508,0.047,0.001,0.944
5.639,0.042,0.006,0.963
5.770,0.039,0.000,0.956
5.901,0.047,0.004,0.955
6.032,0.044,0.003,0.962
6.163,0.048,-0.001,0.957
6.295,0.046,-0.001,0.956
6.427,0.052,0.007,0.959
6.558,0.051,-0.002,0.959
6.690,0.049,0.002,0.964
6.821,0.047,0.011,0.963
6.952,0.044,0.005,0.961
7.084,0.049,0.004,0.950
7.215,0.041,0.002,0.958
7.346,0.044,0.004,0.949
7.477,0.048,0.009,0.954
7.608,0.040,0.007,0.945
7.739,0.042,0.006,0.961
7.870,0.047,0.003,0.957
8.001,0.046,0.000,0.967
8.132,0.046,0.001,0.965
