60.794,-0.945,-0.007,0.008,DEV1
60.803,-0.945,-0.010,0.014,DEV1
60.811,-0.945,-0.008,0.013,DEV1
60.818,-0.949,-0.010,0.002,DEV1
60.826,-0.945,-0.011,0.001,DEV1
60.834,-0.940,-0.004,0.001,DEV1
60.841,-0.957,-0.018,-0.002,DEV1
60.850,-0.943,-0.008,0.004,DEV1
60.858,-0.954,-0.010,0.012,DEV1
60.866,-0.944,-0.010,0.002,DEV1
60.873,-0.960,-0.023,0.009,DEV1
60.881,-0.970,-0.024,0.009,DEV1
60.890,-0.969,-0.019,0.011,DEV1
60.897,-0.945,-0.010,0.007,DEV1
60.905,-0.955,-0.010,0.006,DEV1
60.913,-0.968,-0.017,-0.002,DEV1
60.921,-0.965,-0.021,0.012,DEV1
60.929,-0.945,-0.008,0.013,DEV1
60.937,-0.942,-0.007,0.008,DEV1
60.945,-0.954,-0.007,0.014,DEV1
60.952,-0.944,-0.010,0.017,DEV1
60.960,-0.950,-0.009,0.007,DEV1
60.968,-0.934,-0.015,0.012,DEV1
60.977,-0.949,-0.016,0.015,DEV1
60.984,-0.947,-0.011,0.010,DEV1
60.992,-0.965,-0.014,0.005,DEV1
61.000,-0.942,-0.014,0.007,DEV1
61.007,-0.945,-0.009,0.003,DEV1
61.016,-0.969,-0.013,0.010,DEV1
61.024,-0.957,-0.013,0.001,DEV1
61.031,-0.953,-0.012,0.002,DEV1
61.039,-0.947,-0.011,0.004,DEV1
61.047,-0.940,-0.006,0.009,DEV1
61.054,-0.961,-0.020,0.012,DEV1
61.063,-0.961,-0.015,0.004,DEV1
61.071,-0.950,-0.019,0.004,DEV1
61.079,-0.959,-0.020,0.002,DEV1
61.086,-0.948,-0.009,0.004,DEV1
61.094,-0.951,-0.018,0.006,DEV1
61.103,-0.952,-0.007,0.008,DEV1
61.110,-0.947,-0.009,0.004,DEV1
61.118,-0.942,-0.014,0.015,DEV1
61.126,-0.950,-0.006,0.011,DEV1
61.133,-0.967,-0.019,0.007,DEV1
61.142,-0.936,-0.009,0.008,DEV1
61.150,-0.941,-0.005,0.008,DEV1
61.158,-0.966,-0.014,-0.006,DEV1
61.165,-0.962,-0.017,0.010,DEV1
61.173,-0.944,-0.006,0.012,DEV1
61.181,-0.967,-0.015,0.011,DEV1
61.189,-0.936,-0.008,0.003,DEV1
61.197,-0.934,-0.007,0.010,DEV1
