0.975,-0.019,-0.074
132.182,-0.970,-0.030,-0.135
132.238,-0.974,-0.019,-0.070
132.294,-0.969,-0.025,-0.113
132.352,-0.965,-0.023,-0.078
132.408,-0.962,-0.023,-0.053
132.464,-0.982,-0.030,-0.117
132.520,-0.962,-0.018,-0.072
132.578,-0.976,-0.018,-0.083
132.634,-0.966,-0.025,-0.059
132.690,-0.975,-0.028,-0.030
132.747,-0.972,-0.021,-0.095
132.804,-0.971,-0.017,-0.076
132.860,-0.958,-0.019,-0.115
132.917,-0.962,-0.029,-0.088
132.973,-0.975,-0.023,-0.066
133.030,-0.965,-0.029,-0.104
133.087,-0.973,-0.013,-0.111
133.143,-0.969,-0.020,-0.074
133.199,-0.968,-0.021,-0.069
133.257,-0.975,-0.023,-0.070
133.313,-0.965,-0.018,-0.068
133.369,-0.974,-0.021,-0.074
133.426,-0.966,-0.016,-0.059
133.483,-0.968,-0.020,-0.091
133.539,-0.965,-0.021,-0.115
133.596,-0.969,-0.016,-0.107
133.652,-0.973,-0.027,-0.102
133.709,-0.969,-0.013,-0.071
133.766,-0.978,-0.025,-0.078
133.822,-0.968,-0.018,-0.098
133.878,-0.968,-0.013,-0.075
133.936,-0.972,-0.026,-0.105
133.992,-0.971,-0.023,-0.051
134.048,-0.968,-0.028,-0.114
134.105,-0.969,-0.027,-0.115
134.162,-0.977,-0.021,-0.104
134.218,-0.977,-0.031,-0.104
134.275,-0.970,-0.018,-0.080
134.331,-0.965,-0.029,-0.112
134.388,-0.968,-0.026,-0.075
134.445,-0.971,-0.032,-0.060
134.501,-0.979,-0.018,-0.073
134.557,-0.962,-0.021,-0.105
134.615,-0.967,-0.025,-0.099
134.671,-0.965,-0.028,-0.111
134.727,-0.970,-0.020,-0.063
134.784,-0.980,-0.024,-0.084
134.841,-0.968,-0.026,-0.080
134.897,-0.974,-0.029,-0.084
134.953,-0.973,-0.025,-0.083
135.010,-0.975,-0.030,-0.066
135.067,-0.970,-0.027,-0.069
135.123,-0.972,-0.022,-0.064
135.180,-0.967,-0.026,-0.113
135.236,-0.969,-0.025,-0.074
135.293,-0.973,-0.026,-0.109
135.350,-0.965,-0.024,-0.041
135.406,-0.971,-0.019,-0.064
135.462,-0.966,-0.024,-0.087
135.520,-0.966,-0.017,-0.094
135.576,-0.976,-0.026,-0.088
135.632,-0.967,-0.025,-0.067
135.689,-0.966,-0.026,-0.097
135.746,-0.966,-0.027,-0.093
135.802,-0.970,-0.020,-0.065
135.859,-0.962,-0.023,-0.110
135.915,-0.962,-0.019,-0.061
135.972,-0.966,-0.026,-0.072
136.029,-0.976,-0.023,-0.073
136.085,-0.968,-0.021,-0.062
136.141,-0.970,-0.018,-0.088
136.199,-0.971,-0.025,-0.087
136.255,-0.981,-0.027,-0.103
136.311,-0.973,-0.020,-0.075
136.368,-0.970,-0.022,-0.053
136.425,-0.972,-0.014,-0.109
136.481,-0.972,-0.020,-0.088
136.538,-0.970,-0.027,-0.096
136.594,-0.975,-0.009,-0.094
136.651,-0.977,-0.021,-0.080
136.708,-0.970,-0.019,-0.045
136.764,-0.974,-0.020,-0.063
136.820,-0.969,-0.027,-0.086
136.878,-0.975,-0.026,-0.070
136.934,-0.973,-0.022,-0.056
136.990,-0.972,-0.028,-0.085
137.047,-0.969,-0.016,-0.032
137.104,-0.974,-0.024,-0.086
137.160,-0.970,-0.012,-0.084
137.217,-0.970,-0.026,-0.083
137.273,-0.974,-0.030,-0.053
137.329,-0.971,-0.022,-0.111
137.387,-0.963,-0.026,-0.086
137.443,-0.970,-0.026,-0.074
137.499,-0.964,-0.027,-0.112
137.556,-0.969,-0.024,-0.076
137.613,-0.966,-0.026,-0.084
137.669,-0.965,-0.022,-0.096
137.725,-0.974,-0.017,-0.062
137.783,-0.969,-0.022,-0.076
137.839,-0.971,-0.019,-0.061
137.895,-0.972,-0.029,-0.100
137.952,-0.966,-0.023,-0.079
138.009,-0.969,-0.021,-0.086
138.065,-0.972,-0.020,-0.089
138.122,-0.966,-0.021,-0.096
138.178,-0.968,-0.021,-0.088
138.235,-0.975,-0.023,-0.067
138.292,-0.970,-0.022,-0.108
138.348,-0.972,-0.019,-0.061
138.404,-0.970,-0.032,-0.075
138.462,-0.967,-0.024,-0.086
138.518,-0.973,-0.018,-0.063
138.574,-0.964,-0.024,-0.104
138.631,-0.969,-0.021,-0.087
138.688,-0.979,-0.025,-0.060
138.744,-0.971,-0.022,-0.090
138.801,-0.980,-0.015,-0.097
138.857,-0.972,-0.032,-0.080
138.913,-0.974,-0.026,-0.059
138.971,-0.971,-0.027,-0.097
139.027,-0.972,-0.022,-0.110
139.083,-0.972,-0.024,-0.074
139.140,-0.967,-0.021,-0.040
139.197,-0.969,-0.029,-0.087
139.253,-0.964,-0.023,-0.077
139.310,-0.970,-0.018,-0.087
139.366,-0.978,-0.032,-0.083
139.423,-0.969,-0.027,-0.054
139.480,-0.962,-0.021,-0.084
139.536,-0.965,-0.026,-0.133
139.592,-0.980,-0.021,-0.115
139.650,-0.972,-0.017,-0.094
139.706,-0.964,-0.023,-0.085
139.762,-0.975,-0.018,-0.081
139.819,-0.969,-0.028,-0.092
139.876,-0.969,-0.027,-0.082
139.932,-0.975,-0.016,-0.102
139.988,-0.978,-0.024,-0.108
140.046,-0.965,-0.023,-0.121
140.102,-0.968,-0.021,-0.113
140.158,-0.972,-0.019,-0.089
140.215,-0.965,-0.019,-0.069
140.272,-0.971,-0.023,-0.095
