-0.969,0.021,-0.096
478.498,-0.969,0.022,-0.112
478.684,-0.973,0.021,-0.068
478.869,-0.978,0.017,-0.096
479.054,-0.966,0.015,-0.099
479.241,-0.967,0.015,-0.095
479.426,-0.964,0.026,-0.078
479.611,-0.969,0.016,-0.104
479.797,-0.971,0.014,-0.119
479.982,-0.969,0.012,-0.086
480.167,-0.969,0.019,-0.069
480.354,-0.969,0.016,-0.093
480.539,-0.969,0.021,-0.113
480.724,-0.972,0.012,-0.105
480.910,-0.981,0.026,-0.111
481.095,-0.971,0.016,-0.077
481.282,-0.963,0.014,-0.082
481.467,-0.964,0.020,-0.095
481.652,-0.967,0.015,-0.109
481.838,-0.966,0.021,-0.117
482.023,-0.965,0.019,-0.082
482.208,-0.971,0.017,-0.081
482.395,-0.961,0.017,-0.075
482.580,-0.971,0.011,-0.098
482.765,-0.970,0.016,-0.075
482.951,-0.971,0.018,-0.081
483.136,-0.969,0.016,-0.110
483.321,-0.956,0.023,-0.113
483.508,-0.977,0.019,-0.080
483.693,-0.972,0.005,-0.085
483.878,-0.973,0.016,-0.117
484.064,-0.972,0.017,-0.084
484.249,-0.970,0.018,-0.102
484.434,-0.973,0.012,-0.079
484.621,-0.964,0.020,-0.095
484.806,-0.965,0.016,-0.079
484.992,-0.974,0.020,-0.091
485.177,-0.968,0.015,-0.095
485.362,-0.967,0.021,-0.090
485.548,-0.965,0.018,-0.090
485.734,-0.973,0.015,-0.096
485.919,-0.969,0.020,-0.115
486.105,-0.967,0.016,-0.087
486.290,-0.974,0.012,-0.084
486.475,-0.963,0.017,-0.074
486.661,-0.972,0.018,-0.111
486.847,-0.972,0.017,-0.081
487.032,-0.977,0.021,-0.111
487.218,-0.961,0.013,-0.115
487.403,-0.966,0.019,-0.113
487.588,-0.975,0.022,-0.095
487.774,-0.969,0.020,-0.096
487.960,-0.969,0.017,-0.102
488.145,-0.974,0.017,-0.060
488.331,-0.971,0.019,-0.107
488.516,-0.969,0.018,-0.070
488.701,-0.964,0.014,-0.117
488.887,-0.968,0.020,-0.094
489.073,-0.972,0.012,-0.079
489.259,-0.970,0.020,-0.126
489.444,-0.971,0.018,-0.067
489.629,-0.967,0.022,-0.111
489.815,-0.978,0.022,-0.105
490.000,-0.985,0.025,-0.120
490.186,-0.963,0.021,-0.075
490.372,-0.974,0.022,-0.100
490.557,-0.973,0.010,-0.094
490.742,-0.971,0.020,-0.078
490.928,-0.966,0.021,-0.110
491.113,-0.979,0.023,-0.088
491.299,-0.972,0.014,-0.112
491.485,-0.971,0.019,-0.070
491.670,-0.976,0.025,-0.101
491.855,-0.973,0.024,-0.074
